OBJECTID,sovereignt,type,name,name_long,abbrev,formal_en,region_wb,LITERACY_RT_TOTAL,TOTAL_YEAR,LITERACY_RT_FEMALE,FEMALE_YEAR,LITERACY_RT_MALE,MALE_YEAR,TOTAL_YEAR_LBL
326,Denmark,Dependency,Faeroe Is.,Faeroe Islands,Faeroe Is.,Føroyar Is. (Faeroe Is.),Europe & Central Asia,,,,,,,
327,Federated States of Micronesia,Sovereign country,Micronesia,Federated States of Micronesia,F.S.M.,Federated States of Micronesia,East Asia & Pacific,89,,,,,,
328,Gabon,Sovereign country,Gabon,Gabon,Gabon,Gabonese Republic,Sub-Saharan Africa,82.2837982177734,2012,79.8789749145508,2012,84.8732986450195,2012,(2012)
329,United Kingdom,Country,United Kingdom,United Kingdom,U.K.,United Kingdom of Great Britain and Northern Ireland,Europe & Central Asia,99,,,,,,
330,Georgia,Sovereign country,Georgia,Georgia,Geo.,Georgia,Europe & Central Asia,99.746452331543,2013,99.7098922729492,2013,99.7895889282227,2013,(2013)
331,United Kingdom,Country,Channel Islands (Guernsey & Jersey),Channel Islands (Guernsey & Jersey),Guern.,"Bailiwick of Guernsey, Bailiwick of Jersey",Europe & Central Asia,,,,,,,
332,Ghana,Sovereign country,Ghana,Ghana,Ghana,Republic of Ghana,Sub-Saharan Africa,71.4970779418945,2010,65.2946853637695,2010,78.3489151000977,2010,(2010)
333,Guinea,Sovereign country,Guinea,Guinea,Gin.,Republic of Guinea,Sub-Saharan Africa,25.3077449798584,2010,12.1919708251953,2010,36.7897796630859,2010,(2010)
334,Gambia,Sovereign country,Gambia,The Gambia,Gambia,Republic of the Gambia,Sub-Saharan Africa,53.1863899230957,2013,44.6161193847656,2013,62.2297286987305,2013,(2013)
335,Guinea Bissau,Sovereign country,Guinea-Bissau,Guinea-Bissau,GnB.,Republic of Guinea-Bissau,Sub-Saharan Africa,57.801570892334,2013,45.3731994628906,2013,70.4898376464844,2013,(2013)
336,Equatorial Guinea,Sovereign country,Eq. Guinea,Equatorial Guinea,Eq. G.,Republic of Equatorial Guinea,Sub-Saharan Africa,94.773567199707,2013,92.0992889404297,2013,97.2600479125977,2013,(2013)
337,Greece,Sovereign country,Greece,Greece,Greece,Hellenic Republic,Europe & Central Asia,97.4735565185547,2013,96.5481033325195,2013,98.4378204345703,2013,(2013)
338,Grenada,Sovereign country,Grenada,Grenada,Gren.,Grenada,Latin America & Caribbean,96,,,,,,
339,Denmark,Country,Greenland,Greenland,Grlnd.,Greenland,Europe & Central Asia,100,,,,,,
340,Guatemala,Sovereign country,Guatemala,Guatemala,Guat.,Republic of Guatemala,Latin America & Caribbean,77.0386657714844,2013,72.1275863647461,2013,82.7206726074219,2013,(2013)
341,United States of America,Dependency,Guam,Guam,Guam,Territory of Guam,East Asia & Pacific,99,,,,,,
342,Guyana,Sovereign country,Guyana,Guyana,Guy.,Co-operative Republic of Guyana,Latin America & Caribbean,84.994010925293,2009,87.2519760131836,2009,82.4365615844727,2009,(2009)
343,China,Country,Hong Kong,Hong Kong,H.K.,"Hong Kong Special Administrative Region, PRC",East Asia & Pacific,93.5,,,,,,
344,Australia,Dependency,Heard I. and McDonald Is.,Heard I. and McDonald Islands,H.M.Is.,Territory of Heard Island and McDonald Islands,Sub-Saharan Africa,,,,,,,
345,Honduras,Sovereign country,Honduras,Honduras,Hond.,Republic of Honduras,Latin America & Caribbean,87.1975250244141,2014,87.0259857177734,2014,87.3959426879883,2014,(2014)
346,Croatia,Sovereign country,Croatia,Croatia,Cro.,Republic of Croatia,Europe & Central Asia,99.125358581543,2011,98.6659164428711,2011,99.6297073364258,2011,(2011)
347,Haiti,Sovereign country,Haiti,Haiti,Haiti,Republic of Haiti,Latin America & Caribbean,48.6850204467773,2006,44.5994529724121,2006,53.3550491333008,2006,(2006)
348,Hungary,Sovereign country,Hungary,Hungary,Hun.,Republic of Hungary,Europe & Central Asia,99.0482864379883,2013,98.9575576782227,2013,99.1511611938477,2013,(2013)
349,Indonesia,Sovereign country,Indonesia,Indonesia,Indo.,Republic of Indonesia,East Asia & Pacific,92.8119049072266,2011,90.0686950683594,2011,95.5910949707031,2011,(2011)
350,United Kingdom,Country,Isle of Man,Isle of Man,IoMan, ,Europe & Central Asia,,,,,,,
